Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
5,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6216752524413252,0.3949521510053665,0.36957605497502466,0.4598488773325774,0.4809141650619251,0.575732397532771,0.5145208746737568,0.5666415773061847,0.5463387454668087,0.5803071328726015,0.5399165208551236,0.3,9,350,100
6,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.638224455283917,0.45885181963030663,0.3791654040527463,0.5160066861516506,0.5546768848789357,0.5237974213350798,0.5718028171767627,0.5493201434981085,0.5734157046363183,0.5023215804342088,0.5445010312704666,0.3,9,350,100
7,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6341580238707344,0.39963441217583406,0.33923422058435404,0.48531294904253136,0.578889746923295,0.5123117076079413,0.5118327289078308,0.5824185491832924,0.5435821741722955,0.5642760090321698,0.5383525087731302,0.3,9,350,100
8,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6324767108825916,0.38800207231600864,0.3790969785241591,0.5623112188541657,0.48983880900479954,0.538772837020166,0.5277856521441628,0.5550092374463593,0.535576387327592,0.5184602301052775,0.5364854693502508,0.3,9,350,100
9,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6317533552946697,0.39623268589749855,0.3903383153634862,0.5195745887136978,0.552037614490572,0.5164954399272734,0.5114808261893823,0.5392029403427141,0.5121455313242295,0.5550776629749464,0.5454198883686376,0.3,9,350,100
10,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6272959208609886,0.38482517277445966,0.3535644812856179,0.5434355480396086,0.5599163253536134,0.551783462527248,0.5762700266859562,0.5623503191562155,0.5453319126890255,0.4899463348354366,0.5248726796414502,0.3,9,350,100
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6313623522741714,0.40191200477023686,0.3940919443602702,0.5118131787568059,0.5463387454668087,0.5730442517668449,0.5511480826189382,0.5972668888867166,0.5469545752240936,0.5357523386868164,0.5525361433417073,0.3,9,350,100
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6425645888114486,0.41097349977028574,0.39966373740237143,0.5706689084173175,0.5794860265295549,0.5688702945230252,0.529857968152804,0.5482546602672506,0.5682740149167652,0.5681078386330535,0.5387141865670912,0.3,9,350,100
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6324180604295169,0.39328061309273615,0.3755095258110869,0.3998494638371081,0.5499946237084682,0.4731429800295207,0.4669358070791097,0.604334268482224,0.517893275725555,0.5368178219176744,0.5285187828075972,0.3,9,350,100
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6293291365675799,0.3932219626396614,0.3853530268521324,0.5196527893177975,0.4403671518362479,0.48812817079011933,0.484814420191396,0.5361531167828272,0.5313340045551852,0.5608645076783219,0.5616953890968808,0.3,9,350,100
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6232001642212686,0.3975620961671929,0.3835250877313027,0.45239049471657167,0.5520962649436467,0.5565243741507904,0.5229567648410084,0.5641587081260203,0.5492517179695213,0.5563093224895163,0.5205129959628938,0.3,9,350,100
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6453407102569867,0.4166430435675116,0.37992785994271805,0.607257016060449,0.6013528704509242,0.5220379077428373,0.4485195648136382,0.5679318872738292,0.5478245569447024,0.562252568401091,0.5389976637569526,0.3,9,350,100
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6436887224953812,0.403280515341981,0.36687813413358616,0.5670814557042453,0.5933568586817333,0.5590365685574921,0.48123674255383625,0.572790099803521,0.5447356330827655,0.5493005933470836,0.5472967028670297,0.3,9,350,100
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6444805036118904,0.3760569300397846,0.3824693795759572,0.562233018250066,0.5300143693610033,0.5572575048142246,0.5329273418637159,0.5978240681909268,0.5372968006177847,0.535507961799005,0.5170037438539212,0.3,9,350,100
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6387914096636397,0.43436525547159854,0.37014300935474725,0.5955758008230614,0.5225071113674353,0.500874869258365,0.5238267465616172,0.5906589378402948,0.5517150369986609,0.542037712241327,0.5302391960977898,0.3,9,350,100
20,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6327895132989902,0.44172588733247964,0.3995366614207095,0.5639534315402587,0.5250681811516994,0.5575898573816482,0.5113146499056705,0.5876384395069452,0.5586357904614813,0.5136997683307104,0.5351658341560689,0.3,9,350,100
21,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6373837987898456,0.3951672026666406,0.37024076010987184,0.43696542555791246,0.42466838056323986,0.562917273535938,0.5374434267504716,0.5871399106558098,0.5272577980664901,0.5484208365509624,0.5621841428725037,0.3,9,350,100
22,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6454091357855739,0.3793804557140204,0.37642838290925795,0.5298872933793414,0.4637491324620483,0.5634842279156607,0.5528293956070811,0.5329468920147408,0.5642760090321698,0.5809913881584735,0.5661821487570992,0.3,9,350,100
23,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6455068865406985,0.4195755662212491,0.3803579632652662,0.4858701283467415,0.5517345871496857,0.5523210916804332,0.5202001935464952,0.5904047858769709,0.575028592095874,0.5253516583415607,0.538772837020166,0.3,9,350,100
24,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6297690149656406,0.40680931760197847,0.3830363339556798,0.495479027575488,0.5427121924516867,0.5632105258013118,0.5236214699758556,0.5829464032609651,0.5239049471657169,0.5075219206068367,0.5473553533201044,0.3,9,350,100
25,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6365138170692368,0.4089011837616446,0.3630854048347523,0.5410504296145687,0.550395401804479,0.5371892747871477,0.5227026128776845,0.5514511099598245,0.4948045473651284,0.5218815065346379,0.5464658214484707,0.3,9,350,100
26,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6279801761468607,0.39582213272597533,0.3711009667549682,0.559759924145414,0.5585087144798193,0.5524090673600454,0.5254200838701479,0.5420670374678644,0.5021358539994721,0.5627413221767138,0.5544911584441989,0.3,9,350,100
27,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6293389116430924,0.3945513729093557,0.33191268902552273,0.541949736561715,0.5899551324033978,0.55481373593611,0.5788213213947078,0.5444619309684168,0.5057330817880568,0.552848945758106,0.5843149138327094,0.3,9,350,100
28,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6422420113195374,0.41082687363759884,0.3783345226341874,0.5484012863999375,0.5522819913783834,0.5663581001163234,0.5336995728292001,0.5623014437786532,0.5474628791507414,0.5307083997223878,0.5711772123439653,0.3,9,350,100
29,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6323985102784919,0.39836365235921445,0.3985493787939512,0.5237094456554677,0.5402684235735721,0.5724381970850725,0.5149607530718174,0.5715877655154886,0.5620081915132794,0.5517541373007107,0.5418031104290281,0.3,9,350,100
30,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6294953128512918,0.39192187759650443,0.3679924927420064,0.5334356457903637,0.4346585077369723,0.5503269762758918,0.4811976422517864,0.5757812729103332,0.5469839004506309,0.5636113038973226,0.538411159226205,0.3,9,350,100
31,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6279997262978857,0.4049031778770491,0.416076089187789,0.5606787812435851,0.5680882884820285,0.540395499555234,0.6061817577540787,0.5553513650892953,0.5539144289889639,0.5336506974516378,0.5197114397708722,0.3,9,350,100
