Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max Iter
11,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6101602134876492,0.37202959892865173,0.37566592701928625,0.5177173243663308,0.5184602301052775,0.5415391833901917,0.5287436095443837,0.5506886540698527,0.5359478401970655,0.5406496515185579,0.5444326057418793,1,9,350,10
12,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6155756053215511,0.3961935855954487,0.4016187525048631,0.5339830500190614,0.5378735300730199,0.4882845719983187,0.5329175667882035,0.5480982590590512,0.5451168610277515,0.5575703072306234,0.5239733726943041,1,9,350,10
13,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6098767362977879,0.37024076010987184,0.39262568303340145,0.4996334346682828,0.38880362850803024,0.5420181620903022,0.4935826629260711,0.5756932972307212,0.4718819952884136,0.570317005698869,0.5417737852024906,1,9,350,10
14,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6209518968534032,0.3820881516309714,0.3446496124182559,0.5463680706933461,0.5199167163566338,0.5297211170956295,0.4830255813726161,0.5730638019178698,0.5242666249596778,0.5625458206664646,0.5740022091670658,1,9,350,10
15,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6139431677109706,0.3750012218844391,0.3978162481305168,0.5549114866912347,0.5140223458226215,0.5290368618097575,0.5058992580717686,0.5072775437190252,0.5406692016695829,0.5579515351756092,0.5523797421335079,1,9,350,10
16,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6124084808555146,0.4009247221434786,0.3377288589554354,0.5347650560600581,0.481060791194612,0.5388901379263155,0.5242764000351903,0.5764362029696679,0.3871907410484746,0.5500630492370554,0.5297699924731919,1,9,350,10
17,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6214993010821008,0.3628605780979658,0.39508900206254094,0.5179617012541422,0.5288609104505332,0.5713433886276772,0.5562506720364415,0.5850578195716561,0.46187231796365624,0.5459966178238727,0.563171425499262,1,9,350,10
18,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6238550942806034,0.38324161054144146,0.3007888485938554,0.5020576533953724,0.5028298843608567,0.5467101983362821,0.5671303310818077,0.5560649456017047,0.4797313809249176,0.5314317553103097,0.5446476574031535,1,9,350,10
19,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6117926510982298,0.3863305344033783,0.3392928710374288,0.5076196713619613,0.4162813657735506,0.5311678282714734,0.4631137525537385,0.5680100878779288,0.4979032463025777,0.5703267807743815,0.5323506124084808,1,9,350,10
20,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6211962737412147,0.3569271072619036,0.3696933558811742,0.5196527893177975,0.560590805563973,0.5492419428940088,0.5355470621010547,0.572790099803521,0.5407083019716328,0.5447845084603279,0.5655076685467395,1,9,350,10
21,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6153898788868144,0.38163849815739825,0.42288931681997244,0.44276204533680025,0.5082257260437337,0.5425557912434874,0.5288022599974584,0.5464071709953959,0.49770774479232854,0.550375851653454,0.5409429037839317,1,9,350,10
22,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6085277758770686,0.3742583161454922,0.3828115072188933,0.5566221249059149,0.4693795759572243,0.5502683258228169,0.550141249841155,0.5311287279694236,0.5073948446251747,0.5521646904722339,0.5362899678400016,1,9,350,10
