Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,18,5,2,10,0.745928338762215,0.6482084690553745,0.9087947882736156,0.8773072747014115,0.8925081433224755,0.8870792616720955,0.9022801302931596,0.8914223669923995,0.9001085776330076,0.8946796959826275
0000000011,2,"[1, 2]",0.7980456026058632,19,5,2,10,0.752442996742671,0.6948968512486428,0.8827361563517915,0.8881650380021715,0.9055374592833876,0.8968512486427795,0.9011943539630836,0.8957654723127035,0.9120521172638436,0.8957654723127035
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.9077090119435396,19,5,2,10,0.752442996742671,0.6948968512486428,0.8827361563517915,0.8881650380021715,0.9055374592833876,0.8968512486427795,0.9011943539630836,0.8957654723127035,0.9120521172638436,0.8957654723127035
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,20,5,2,10,0.7111834961997828,0.8165038002171553,0.8935939196525515,0.9033659066232356,0.8914223669923995,0.9098805646036916,0.8859934853420195,0.8979370249728555,0.8718783930510315,0.8783930510314875
0110000111,390,"[1, 2, 3, 8, 9]",0.8870792616720955,21,5,2,10,0.7350705754614549,0.6340933767643865,0.8773072747014115,0.8968512486427795,0.9098805646036916,0.8946796959826275,0.9033659066232356,0.8707926167209555,0.8859934853420195,0.9087947882736156
0110101111,430,"[1, 2, 3, 4, 6, 8, 9]",0.8979370249728555,21,5,2,10,0.7350705754614549,0.6340933767643865,0.8773072747014115,0.8968512486427795,0.9098805646036916,0.8946796959826275,0.9033659066232356,0.8707926167209555,0.8859934853420195,0.9087947882736156
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,21,5,2,10,0.7350705754614549,0.6340933767643865,0.8773072747014115,0.8968512486427795,0.9098805646036916,0.8946796959826275,0.9033659066232356,0.8707926167209555,0.8859934853420195,0.9087947882736156
0000000011,2,"[1, 2]",0.7676438653637351,22,5,2,10,0.6981541802388708,0.758957654723127,0.9066232356134636,0.8881650380021715,0.8859934853420195,0.8881650380021715,0.9055374592833876,0.8925081433224755,0.8849077090119435,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,22,5,2,10,0.6981541802388708,0.758957654723127,0.9066232356134636,0.8881650380021715,0.8859934853420195,0.8881650380021715,0.9055374592833876,0.8925081433224755,0.8849077090119435,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9218241042345277,23,5,2,10,0.8089033659066233,0.757871878393051,0.8794788273615635,0.9185667752442996,0.8925081433224755,0.8849077090119435,0.8968512486427795,0.9011943539630836,0.8935939196525515,0.9120521172638436
1111111011,1018,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,24,5,2,10,0.7828447339847991,0.6102062975027145,0.9261672095548317,0.9022801302931596,0.8881650380021715,0.9120521172638436,0.9044516829533116,0.8881650380021715,0.8979370249728555,0.8783930510314875
0000000011,2,"[1, 2]",0.8165038002171553,25,5,2,10,0.752442996742671,0.7806731813246471,0.8849077090119435,0.8957654723127035,0.9142236699239956,0.9011943539630836,0.8946796959826275,0.8968512486427795,0.8935939196525515,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,25,5,2,10,0.752442996742671,0.7806731813246471,0.8849077090119435,0.8957654723127035,0.9142236699239956,0.9011943539630836,0.8946796959826275,0.8968512486427795,0.8935939196525515,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,26,5,2,10,0.757871878393051,0.7850162866449512,0.9087947882736156,0.9087947882736156,0.9087947882736156,0.8783930510314875,0.9001085776330076,0.8827361563517915,0.8957654723127035,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,27,5,2,10,0.7252985884907709,0.8121606948968513,0.8925081433224755,0.8935939196525515,0.8903365906623235,0.9011943539630836,0.9196525515743756,0.8935939196525515,0.8914223669923995,0.9077090119435396
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,28,5,2,10,0.6796959826275787,0.7882736156351792,0.8914223669923995,0.9239956568946797,0.8805646036916395,0.9001085776330076,0.9087947882736156,0.9109663409337676,0.9011943539630836,0.8870792616720955
0000000011,2,"[1, 2]",0.8186753528773073,29,5,2,10,0.6699239956568946,0.8013029315960912,0.8968512486427795,0.8925081433224755,0.8892508143322475,0.8870792616720955,0.9142236699239956,0.8740499457111836,0.8805646036916395,0.9066232356134636
