Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000000111,6,"[1, 2, 3]",0.7709011943539631,19,4,3,10,0.7676438653637351,0.6862106406080347,0.6688382193268186,0.8783930510314875,0.8849077090119435,0.9131378935939196,0.8925081433224755,0.8946796959826275,0.8935939196525515,0.8925081433224755
1111011111,990,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.9066232356134636,19,4,3,10,0.7676438653637351,0.6862106406080347,0.6688382193268186,0.8783930510314875,0.8849077090119435,0.9131378935939196,0.8925081433224755,0.8946796959826275,0.8935939196525515,0.8925081433224755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,20,4,3,10,0.7318132464712269,0.8110749185667753,0.6992399565689468,0.8859934853420195,0.8946796959826275,0.9001085776330076,0.9011943539630836,0.8990228013029316,0.9077090119435396,0.8946796959826275
0000000111,6,"[1, 2, 3]",0.7882736156351792,21,4,3,10,0.7328990228013029,0.7850162866449512,0.7198697068403909,0.9001085776330076,0.8925081433224755,0.9022801302931596,0.9120521172638436,0.8881650380021715,0.8718783930510315,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,21,4,3,10,0.7328990228013029,0.7850162866449512,0.7198697068403909,0.9001085776330076,0.8925081433224755,0.9022801302931596,0.9120521172638436,0.8881650380021715,0.8718783930510315,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,22,4,3,10,0.762214983713355,0.744842562432139,0.6851248642779587,0.9011943539630836,0.8849077090119435,0.8859934853420195,0.9066232356134636,0.9022801302931596,0.8849077090119435,0.8892508143322475
0000000111,6,"[1, 2, 3]",0.7839305103148752,23,4,3,10,0.7274701411509229,0.6731813246471227,0.7263843648208469,0.8903365906623235,0.8957654723127035,0.8990228013029316,0.8903365906623235,0.8881650380021715,0.8946796959826275,0.9087947882736156
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9283387622149837,23,4,3,10,0.7274701411509229,0.6731813246471227,0.7263843648208469,0.8903365906623235,0.8957654723127035,0.8990228013029316,0.8903365906623235,0.8881650380021715,0.8946796959826275,0.9087947882736156
0000000011,2,"[1, 2]",0.753528773072747,24,4,3,10,0.7166123778501629,0.7220412595005429,0.8165038002171553,0.9044516829533116,0.9011943539630836,0.9022801302931596,0.8838219326818675,0.8903365906623235,0.9250814332247557,0.8990228013029316
0000000111,6,"[1, 2, 3]",0.7937024972855592,25,4,3,10,0.7882736156351792,0.7166123778501629,0.7046688382193268,0.8903365906623235,0.8990228013029316,0.9066232356134636,0.8957654723127035,0.8892508143322475,0.8946796959826275,0.8794788273615635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,25,4,3,10,0.7882736156351792,0.7166123778501629,0.7046688382193268,0.8903365906623235,0.8990228013029316,0.9066232356134636,0.8957654723127035,0.8892508143322475,0.8946796959826275,0.8794788273615635
0000000111,6,"[1, 2, 3]",0.8208469055374593,26,4,3,10,0.7665580890336591,0.7176981541802389,0.7144408251900108,0.8849077090119435,0.8751357220412594,0.8914223669923995,0.9055374592833876,0.8979370249728555,0.8783930510314875,0.8838219326818675
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,26,4,3,10,0.7665580890336591,0.7176981541802389,0.7144408251900108,0.8849077090119435,0.8751357220412594,0.8914223669923995,0.9055374592833876,0.8979370249728555,0.8783930510314875,0.8838219326818675
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,27,4,3,10,0.7817589576547231,0.7752442996742671,0.762214983713355,0.9022801302931596,0.8849077090119435,0.8805646036916395,0.8935939196525515,0.9066232356134636,0.9022801302931596,0.8827361563517915
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,28,4,3,10,0.7806731813246471,0.747014115092291,0.8230184581976113,0.8946796959826275,0.8968512486427795,0.8621064060803475,0.8990228013029316,0.9153094462540716,0.9022801302931596,0.8740499457111836
0000000111,6,"[1, 2, 3]",0.7752442996742671,30,4,3,10,0.6558089033659066,0.760043431053203,0.753528773072747,0.8838219326818675,0.8946796959826275,0.9066232356134636,0.9131378935939196,0.8783930510314875,0.9001085776330076,0.8859934853420195
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,30,4,3,10,0.6558089033659066,0.760043431053203,0.753528773072747,0.8838219326818675,0.8946796959826275,0.9066232356134636,0.9131378935939196,0.8783930510314875,0.9001085776330076,0.8859934853420195
0010000111,134,"[1, 2, 3, 8]",0.8664495114006515,31,4,3,10,0.7991313789359392,0.7285559174809989,0.753528773072747,0.8794788273615635,0.9098805646036916,0.9011943539630836,0.9077090119435396,0.8610206297502715,0.9337676438653637,0.9239956568946797
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9261672095548317,32,4,3,10,0.7296416938110749,0.8121606948968513,0.6992399565689468,0.8979370249728555,0.8773072747014115,0.8990228013029316,0.9120521172638436,0.8816503800217155,0.8990228013029316,0.9163952225841476
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,33,4,3,10,0.8002171552660152,0.7719869706840391,0.7003257328990228,0.8968512486427795,0.9087947882736156,0.8729641693811075,0.8914223669923995,0.8968512486427795,0.9120521172638436,0.8762214983713354
0000000111,6,"[1, 2, 3]",0.7719869706840391,35,4,3,10,0.741585233441911,0.6568946796959826,0.6655808903365906,0.9055374592833876,0.9153094462540716,0.8903365906623235,0.9066232356134636,0.8935939196525515,0.8718783930510315,0.8729641693811075
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9196525515743756,35,4,3,10,0.741585233441911,0.6568946796959826,0.6655808903365906,0.9055374592833876,0.9153094462540716,0.8903365906623235,0.9066232356134636,0.8935939196525515,0.8718783930510315,0.8729641693811075
0000000101,4,"[1, 3]",0.753528773072747,36,4,3,10,0.7220412595005429,0.8197611292073833,0.7328990228013029,0.9153094462540716,0.9066232356134636,0.8816503800217155,0.8870792616720955,0.8707926167209555,0.8979370249728555,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,37,4,3,10,0.8067318132464713,0.6764386536373507,0.756786102062975,0.8697068403908795,0.9001085776330076,0.8946796959826275,0.8697068403908795,0.8935939196525515,0.9033659066232356,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,38,4,3,10,0.7871878393051032,0.5689467969598263,0.7687296416938111,0.8805646036916395,0.8935939196525515,0.8783930510314875,0.9033659066232356,0.8990228013029316,0.9001085776330076,0.8838219326818675
0000000111,6,"[1, 2, 3]",0.8284473398479913,39,4,3,10,0.6471226927252985,0.762214983713355,0.7633007600434311,0.8946796959826275,0.9001085776330076,0.8762214983713354,0.8935939196525515,0.8849077090119435,0.8881650380021715,0.9044516829533116
