Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,9,4,7,10,0.747014115092291,0.8110749185667753,0.8490770901194354,0.6883821932681867,0.8295331161780674,0.7643865363735071,0.7687296416938111,0.9087947882736156,0.9087947882736156,0.8892508143322475
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8566775244299675,10,4,7,10,0.7741585233441911,0.7709011943539631,0.6862106406080347,0.738327904451683,0.6644951140065146,0.7817589576547231,0.761129207383279,0.8773072747014115,0.9120521172638436,0.9066232356134636
0101111111,382,"[1, 2, 3, 4, 5, 6, 7, 9]",0.8686210640608035,11,4,7,10,0.8045602605863192,0.752442996742671,0.739413680781759,0.6655808903365906,0.6731813246471227,0.7947882736156352,0.7024972855591748,0.8946796959826275,0.8621064060803475,0.8957654723127035
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8197611292073833,12,4,7,10,0.754614549402823,0.7361563517915309,0.7079261672095548,0.5884907709011944,0.7763300760043431,0.740499457111835,0.739413680781759,0.9153094462540716,0.9098805646036916,0.8762214983713354
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8545059717698155,13,4,7,10,0.7155266015200868,0.7176981541802389,0.8230184581976113,0.7318132464712269,0.7861020629750272,0.6818675352877307,0.8197611292073833,0.9239956568946797,0.8925081433224755,0.9011943539630836
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8403908794788274,14,4,7,10,0.6731813246471227,0.6872964169381107,0.7274701411509229,0.7187839305103149,0.7220412595005429,0.747014115092291,0.739413680781759,0.8707926167209555,0.9207383279044516,0.9207383279044516
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8414766558089034,15,4,7,10,0.7947882736156352,0.7861020629750272,0.7024972855591748,0.7795874049945711,0.7296416938110749,0.6905537459283387,0.7915309446254072,0.8946796959826275,0.8783930510314875,0.9033659066232356
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8414766558089034,16,4,7,10,0.7828447339847991,0.7231270358306189,0.7090119435396308,0.8089033659066233,0.8110749185667753,0.7144408251900108,0.7144408251900108,0.9044516829533116,0.8968512486427795,0.8870792616720955
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,16,4,7,10,0.7828447339847991,0.7231270358306189,0.7090119435396308,0.8089033659066233,0.8110749185667753,0.7144408251900108,0.7144408251900108,0.9044516829533116,0.8968512486427795,0.8870792616720955
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8317046688382194,17,4,7,10,0.7024972855591748,0.742671009771987,0.8099891422366993,0.7296416938110749,0.6981541802388708,0.6373507057546145,0.6514657980456026,0.9142236699239956,0.9055374592833876,0.8707926167209555
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.8469055374592834,18,4,7,10,0.6883821932681867,0.7122692725298588,0.6938110749185668,0.7915309446254072,0.743756786102063,0.7643865363735071,0.7350705754614549,0.8935939196525515,0.8990228013029316,0.8881650380021715
