Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,15,5,4,10,0.7035830618892508,0.7166123778501629,0.7719869706840391,0.6862106406080347,0.9011943539630836,0.9011943539630836,0.8903365906623235,0.9055374592833876,0.8773072747014115,0.9066232356134636
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,16,5,4,10,0.755700325732899,0.7318132464712269,0.8045602605863192,0.7633007600434311,0.8892508143322475,0.8675352877307275,0.9077090119435396,0.8838219326818675,0.9142236699239956,0.8892508143322475
0000001111,14,"[1, 2, 3, 4]",0.8023887079261672,17,5,4,10,0.751357220412595,0.6894679695982627,0.7752442996742671,0.7003257328990228,0.9077090119435396,0.9011943539630836,0.8881650380021715,0.9120521172638436,0.8827361563517915,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,17,5,4,10,0.751357220412595,0.6894679695982627,0.7752442996742671,0.7003257328990228,0.9077090119435396,0.9011943539630836,0.8881650380021715,0.9120521172638436,0.8827361563517915,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,18,5,4,10,0.7643865363735071,0.754614549402823,0.8154180238870793,0.755700325732899,0.8946796959826275,0.8957654723127035,0.8968512486427795,0.8935939196525515,0.9120521172638436,0.9022801302931596
0000001111,14,"[1, 2, 3, 4]",0.8317046688382194,19,5,4,10,0.762214983713355,0.7155266015200868,0.6666666666666666,0.8078175895765473,0.8849077090119435,0.8827361563517915,0.8914223669923995,0.8697068403908795,0.8925081433224755,0.9153094462540716
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9033659066232356,19,5,4,10,0.762214983713355,0.7155266015200868,0.6666666666666666,0.8078175895765473,0.8849077090119435,0.8827361563517915,0.8914223669923995,0.8697068403908795,0.8925081433224755,0.9153094462540716
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9272529858849077,20,5,4,10,0.6905537459283387,0.7958740499457112,0.6503800217155266,0.7307274701411509,0.8849077090119435,0.8859934853420195,0.9066232356134636,0.9022801302931596,0.8849077090119435,0.8892508143322475
0001001111,78,"[1, 2, 3, 4, 7]",0.8773072747014115,21,5,4,10,0.752442996742671,0.7220412595005429,0.7709011943539631,0.7741585233441911,0.9109663409337676,0.9022801302931596,0.8751357220412594,0.9055374592833876,0.9098805646036916,0.9120521172638436
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,21,5,4,10,0.752442996742671,0.7220412595005429,0.7709011943539631,0.7741585233441911,0.9109663409337676,0.9022801302931596,0.8751357220412594,0.9055374592833876,0.9098805646036916,0.9120521172638436
0000001111,14,"[1, 2, 3, 4]",0.8013029315960912,22,5,4,10,0.762214983713355,0.7698154180238871,0.6764386536373507,0.6948968512486428,0.9109663409337676,0.8968512486427795,0.9044516829533116,0.8707926167209555,0.8870792616720955,0.8794788273615635
1110001111,910,"[1, 2, 3, 4, 8, 9, 10]",0.8892508143322475,22,5,4,10,0.762214983713355,0.7698154180238871,0.6764386536373507,0.6948968512486428,0.9109663409337676,0.8968512486427795,0.9044516829533116,0.8707926167209555,0.8870792616720955,0.8794788273615635
