Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,11,2,8,10,0.7709011943539631,0.7795874049945711,0.762214983713355,0.8273615635179153,0.8013029315960912,0.8295331161780674,0.8154180238870793,0.753528773072747,0.8859934853420195,0.9087947882736156
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8707926167209555,12,2,8,10,0.7785016286644951,0.7795874049945711,0.7763300760043431,0.7958740499457112,0.7828447339847991,0.8045602605863192,0.7719869706840391,0.739413680781759,0.9087947882736156,0.9142236699239956
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,13,2,8,10,0.7361563517915309,0.757871878393051,0.8317046688382194,0.7904451682953312,0.7947882736156352,0.760043431053203,0.8621064060803475,0.760043431053203,0.9044516829533116,0.9109663409337676
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8751357220412594,14,2,8,10,0.7003257328990228,0.7318132464712269,0.7969598262757872,0.8436482084690554,0.7665580890336591,0.7828447339847991,0.7752442996742671,0.8034744842562432,0.8979370249728555,0.9109663409337676
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,15,2,8,10,0.7947882736156352,0.742671009771987,0.7828447339847991,0.8230184581976113,0.7947882736156352,0.8165038002171553,0.7719869706840391,0.7904451682953312,0.9087947882736156,0.8555917480998915
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8859934853420195,16,2,8,10,0.6840390879478827,0.754614549402823,0.7752442996742671,0.8197611292073833,0.7915309446254072,0.8317046688382194,0.7654723127035831,0.7926167209554832,0.8783930510314875,0.9077090119435396
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8642779587404995,17,2,8,10,0.7926167209554832,0.8208469055374593,0.7893593919652552,0.7709011943539631,0.7882736156351792,0.7828447339847991,0.7850162866449512,0.8132464712269273,0.9001085776330076,0.8979370249728555
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8707926167209555,18,2,8,10,0.8002171552660152,0.7741585233441911,0.7817589576547231,0.7785016286644951,0.8099891422366993,0.7839305103148752,0.7285559174809989,0.7763300760043431,0.9033659066232356,0.9120521172638436
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8881650380021715,19,2,8,10,0.7785016286644951,0.7654723127035831,0.7969598262757872,0.7643865363735071,0.7763300760043431,0.747014115092291,0.8089033659066233,0.7198697068403909,0.8762214983713354,0.9066232356134636
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8707926167209555,20,2,8,10,0.745928338762215,0.752442996742671,0.7904451682953312,0.7947882736156352,0.7828447339847991,0.747014115092291,0.8002171552660152,0.7318132464712269,0.9033659066232356,0.8968512486427795
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8577633007600435,21,2,8,10,0.7806731813246471,0.8002171552660152,0.7166123778501629,0.8045602605863192,0.762214983713355,0.7991313789359392,0.7861020629750272,0.8154180238870793,0.8914223669923995,0.8935939196525515
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8762214983713354,23,2,8,10,0.761129207383279,0.8143322475570033,0.7730727470141151,0.8132464712269273,0.750271444082519,0.7274701411509229,0.742671009771987,0.8534201954397395,0.9011943539630836,0.9142236699239956
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,24,2,8,10,0.8186753528773073,0.755700325732899,0.8121606948968513,0.7741585233441911,0.7871878393051032,0.8197611292073833,0.8371335504885994,0.7991313789359392,0.8914223669923995,0.9001085776330076
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9011943539630836,25,2,8,10,0.7795874049945711,0.8056460369163952,0.750271444082519,0.7806731813246471,0.7795874049945711,0.7003257328990228,0.8230184581976113,0.748099891422367,0.8881650380021715,0.8968512486427795
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8968512486427795,26,2,8,10,0.7242128121606949,0.7817589576547231,0.7687296416938111,0.8338762214983714,0.7687296416938111,0.741585233441911,0.7100977198697068,0.7937024972855592,0.8838219326818675,0.8816503800217155
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.8675352877307275,27,2,8,10,0.8414766558089034,0.7057546145494028,0.7937024972855592,0.7719869706840391,0.749185667752443,0.754614549402823,0.7893593919652552,0.7231270358306189,0.8968512486427795,0.8935939196525515
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.8946796959826275,28,2,8,10,0.7035830618892508,0.7752442996742671,0.8013029315960912,0.8013029315960912,0.8273615635179153,0.742671009771987,0.8436482084690554,0.8067318132464713,0.9077090119435396,0.8881650380021715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,29,2,8,10,0.8034744842562432,0.8045602605863192,0.8143322475570033,0.745928338762215,0.7947882736156352,0.8078175895765473,0.6981541802388708,0.8403908794788274,0.8968512486427795,0.8870792616720955
