Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy (low-quality client),Client 8 Accuracy (low-quality client),Client 9 Accuracy (low-quality client),Client 10 Accuracy
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8599348534201955,24,5,9,100,0.6688382193268186,0.6938110749185668,0.6210640608034745,0.749185667752443,0.745928338762215,0.7633007600434311,0.7958740499457112,0.6894679695982627,0.7937024972855592,0.8979370249728555
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8349619978284474,25,5,9,100,0.6102062975027145,0.750271444082519,0.7828447339847991,0.7144408251900108,0.6818675352877307,0.761129207383279,0.7307274701411509,0.7035830618892508,0.6829533116178067,0.9066232356134636
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8588490770901195,26,5,9,100,0.6851248642779587,0.7090119435396308,0.7850162866449512,0.753528773072747,0.8110749185667753,0.747014115092291,0.7730727470141151,0.741585233441911,0.7730727470141151,0.9066232356134636
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8501628664495114,27,5,9,100,0.7318132464712269,0.6753528773072747,0.742671009771987,0.8110749185667753,0.7274701411509229,0.7198697068403909,0.7947882736156352,0.7176981541802389,0.7719869706840391,0.9185667752442996
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8371335504885994,28,5,9,100,0.745928338762215,0.7242128121606949,0.738327904451683,0.6927252985884907,0.7263843648208469,0.6927252985884907,0.7643865363735071,0.744842562432139,0.5895765472312704,0.8859934853420195
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8360477741585234,29,5,9,100,0.6905537459283387,0.753528773072747,0.6807817589576547,0.6862106406080347,0.753528773072747,0.738327904451683,0.748099891422367,0.7046688382193268,0.7361563517915309,0.9087947882736156
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8501628664495114,30,5,9,100,0.762214983713355,0.749185667752443,0.6536373507057546,0.7676438653637351,0.8197611292073833,0.7263843648208469,0.748099891422367,0.7285559174809989,0.7220412595005429,0.9033659066232356
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8360477741585234,31,5,9,100,0.754614549402823,0.5863192182410424,0.750271444082519,0.7339847991313789,0.750271444082519,0.760043431053203,0.7350705754614549,0.8013029315960912,0.7654723127035831,0.9109663409337676
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8251900108577633,32,5,9,100,0.7155266015200868,0.5906623235613464,0.7839305103148752,0.744842562432139,0.7328990228013029,0.6482084690553745,0.755700325732899,0.6688382193268186,0.738327904451683,0.8707926167209555
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8382193268186754,33,5,9,100,0.6601520086862106,0.6970684039087948,0.751357220412595,0.7285559174809989,0.6210640608034745,0.7111834961997828,0.741585233441911,0.753528773072747,0.7209554831704669,0.9033659066232356
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8414766558089034,34,5,9,100,0.7980456026058632,0.7187839305103149,0.7014115092290988,0.8034744842562432,0.7698154180238871,0.7231270358306189,0.745928338762215,0.7046688382193268,0.7090119435396308,0.8849077090119435
