Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0111011111,478,"[1, 2, 3, 4, 5, 7, 8, 9]",0.9011943539630836,23,4,5,10,0.7774158523344191,0.7643865363735071,0.8327904451682954,0.752442996742671,0.6927252985884907,0.9120521172638436,0.8925081433224755,0.8740499457111836,0.8979370249728555,0.9098805646036916
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,24,4,5,10,0.7079261672095548,0.7752442996742671,0.7839305103148752,0.7698154180238871,0.8349619978284474,0.8859934853420195,0.9022801302931596,0.8881650380021715,0.9066232356134636,0.9044516829533116
0000010010,17,"[2, 5]",0.7100977198697068,25,4,5,10,0.7893593919652552,0.6916395222584147,0.8425624321389794,0.7871878393051032,0.6883821932681867,0.8870792616720955,0.8957654723127035,0.8914223669923995,0.8914223669923995,0.8935939196525515
0000011011,26,"[1, 2, 4, 5]",0.8013029315960912,25,4,5,10,0.7893593919652552,0.6916395222584147,0.8425624321389794,0.7871878393051032,0.6883821932681867,0.8870792616720955,0.8957654723127035,0.8914223669923995,0.8914223669923995,0.8935939196525515
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,25,4,5,10,0.7893593919652552,0.6916395222584147,0.8425624321389794,0.7871878393051032,0.6883821932681867,0.8870792616720955,0.8957654723127035,0.8914223669923995,0.8914223669923995,0.8935939196525515
1010011111,670,"[1, 2, 3, 4, 5, 8, 10]",0.8957654723127035,26,4,5,10,0.6688382193268186,0.7643865363735071,0.7709011943539631,0.7871878393051032,0.7730727470141151,0.9022801302931596,0.9011943539630836,0.8816503800217155,0.9087947882736156,0.8740499457111836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,26,4,5,10,0.6688382193268186,0.7643865363735071,0.7709011943539631,0.7871878393051032,0.7730727470141151,0.9022801302931596,0.9011943539630836,0.8816503800217155,0.9087947882736156,0.8740499457111836
0000011111,30,"[1, 2, 3, 4, 5]",0.8425624321389794,27,4,5,10,0.7741585233441911,0.747014115092291,0.7817589576547231,0.7850162866449512,0.7144408251900108,0.9153094462540716,0.8903365906623235,0.8729641693811075,0.8838219326818675,0.8957654723127035
1111011111,990,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.9011943539630836,27,4,5,10,0.7741585233441911,0.747014115092291,0.7817589576547231,0.7850162866449512,0.7144408251900108,0.9153094462540716,0.8903365906623235,0.8729641693811075,0.8838219326818675,0.8957654723127035
0000011011,26,"[1, 2, 4, 5]",0.762214983713355,28,4,5,10,0.7328990228013029,0.7057546145494028,0.8338762214983714,0.7035830618892508,0.6167209554831705,0.8990228013029316,0.9066232356134636,0.8849077090119435,0.9011943539630836,0.9011943539630836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9163952225841476,28,4,5,10,0.7328990228013029,0.7057546145494028,0.8338762214983714,0.7035830618892508,0.6167209554831705,0.8990228013029316,0.9066232356134636,0.8849077090119435,0.9011943539630836,0.9011943539630836
0000011111,30,"[1, 2, 3, 4, 5]",0.8306188925081434,29,4,5,10,0.7665580890336591,0.7654723127035831,0.6655808903365906,0.7155266015200868,0.7665580890336591,0.9022801302931596,0.8903365906623235,0.8957654723127035,0.9066232356134636,0.9120521172638436
0000011111,30,"[1, 2, 3, 4, 5]",0.8436482084690554,30,4,5,10,0.7980456026058632,0.757871878393051,0.7296416938110749,0.7752442996742671,0.6612377850162866,0.9098805646036916,0.8892508143322475,0.9109663409337676,0.9022801302931596,0.8816503800217155
1001011111,606,"[1, 2, 3, 4, 5, 7, 10]",0.8935939196525515,30,4,5,10,0.7980456026058632,0.757871878393051,0.7296416938110749,0.7752442996742671,0.6612377850162866,0.9098805646036916,0.8892508143322475,0.9109663409337676,0.9022801302931596,0.8816503800217155
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,30,4,5,10,0.7980456026058632,0.757871878393051,0.7296416938110749,0.7752442996742671,0.6612377850162866,0.9098805646036916,0.8892508143322475,0.9109663409337676,0.9022801302931596,0.8816503800217155
1000011111,542,"[1, 2, 3, 4, 5, 10]",0.8697068403908795,31,4,5,10,0.7318132464712269,0.745928338762215,0.8208469055374593,0.7947882736156352,0.7285559174809989,0.8805646036916395,0.9077090119435396,0.9055374592833876,0.8892508143322475,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,33,4,5,10,0.7763300760043431,0.8360477741585234,0.754614549402823,0.7166123778501629,0.6894679695982627,0.8979370249728555,0.8925081433224755,0.9142236699239956,0.8859934853420195,0.8925081433224755
0000011111,30,"[1, 2, 3, 4, 5]",0.8469055374592834,34,4,5,10,0.6340933767643865,0.7350705754614549,0.7980456026058632,0.6514657980456026,0.7176981541802389,0.8870792616720955,0.9022801302931596,0.8914223669923995,0.9001085776330076,0.8946796959826275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,34,4,5,10,0.6340933767643865,0.7350705754614549,0.7980456026058632,0.6514657980456026,0.7176981541802389,0.8870792616720955,0.9022801302931596,0.8914223669923995,0.9001085776330076,0.8946796959826275
0000011111,30,"[1, 2, 3, 4, 5]",0.8143322475570033,35,4,5,10,0.747014115092291,0.739413680781759,0.7947882736156352,0.7144408251900108,0.7166123778501629,0.8762214983713354,0.8979370249728555,0.8946796959826275,0.8925081433224755,0.8773072747014115
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,35,4,5,10,0.747014115092291,0.739413680781759,0.7947882736156352,0.7144408251900108,0.7166123778501629,0.8762214983713354,0.8979370249728555,0.8946796959826275,0.8925081433224755,0.8773072747014115
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,36,4,5,10,0.6492942453854506,0.739413680781759,0.761129207383279,0.7937024972855592,0.740499457111835,0.8816503800217155,0.8968512486427795,0.9066232356134636,0.8946796959826275,0.8903365906623235
0000011111,30,"[1, 2, 3, 4, 5]",0.8284473398479913,37,4,5,10,0.7307274701411509,0.756786102062975,0.7122692725298588,0.7687296416938111,0.757871878393051,0.9044516829533116,0.8859934853420195,0.9055374592833876,0.8740499457111836,0.9033659066232356
0000011111,30,"[1, 2, 3, 4, 5]",0.7861020629750272,38,4,5,10,0.6601520086862106,0.7328990228013029,0.6851248642779587,0.7318132464712269,0.6590662323561346,0.9098805646036916,0.8870792616720955,0.8697068403908795,0.9109663409337676,0.9033659066232356
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,38,4,5,10,0.6601520086862106,0.7328990228013029,0.6851248642779587,0.7318132464712269,0.6590662323561346,0.9098805646036916,0.8870792616720955,0.8697068403908795,0.9109663409337676,0.9033659066232356
0000011111,30,"[1, 2, 3, 4, 5]",0.8338762214983714,39,4,5,10,0.7274701411509229,0.7231270358306189,0.7155266015200868,0.749185667752443,0.7774158523344191,0.8794788273615635,0.8925081433224755,0.9196525515743756,0.8740499457111836,0.8914223669923995
1101111111,894,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.8946796959826275,39,4,5,10,0.7274701411509229,0.7231270358306189,0.7155266015200868,0.749185667752443,0.7774158523344191,0.8794788273615635,0.8925081433224755,0.9196525515743756,0.8740499457111836,0.8914223669923995
0010011111,158,"[1, 2, 3, 4, 5, 8]",0.8642779587404995,40,4,5,10,0.7698154180238871,0.7850162866449512,0.8349619978284474,0.755700325732899,0.6818675352877307,0.9044516829533116,0.9131378935939196,0.8490770901194354,0.9098805646036916,0.9066232356134636
0000011111,30,"[1, 2, 3, 4, 5]",0.8251900108577633,41,4,5,10,0.6786102062975027,0.739413680781759,0.7155266015200868,0.7741585233441911,0.756786102062975,0.8903365906623235,0.8914223669923995,0.8892508143322475,0.8990228013029316,0.9033659066232356
