Trial,Combination,Clients,Global Accuracy,Client 1 Accuracy,Client 2 Accuracy,Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy,Noise Std,Corrupted Clients,Num Samples,Max depth
34,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7615468079490914,0.472488049970186,0.5062804860167545,0.5084505527805202,0.621587276761713,0.6033763110820031,0.5231033909736953,0.522204084026549,0.47632965464658217,0.5551069882014839,0.5308452507795622,0.3,9,350,10
35,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7582232822748556,0.3614627422996843,0.5236996705799553,0.5792025493396936,0.5347357308335207,0.5571108786815379,0.5857811751595781,0.5569349273223135,0.4781673688429243,0.5085580786111573,0.4496436984975709,0.3,9,350,10
36,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7611069295510308,0.49812807303936424,0.37331013382078376,0.4315793589505479,0.6206390944370045,0.45109040967341474,0.5814410416320466,0.5371697246361228,0.5652535165834156,0.5076294464374738,0.38717119089744967,0.3,9,350,10
37,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7507551245833374,0.42757157799044,0.3125482644353428,0.544745408158278,0.36653600649065016,0.4833970342420895,0.5599261004291258,0.5414512077105795,0.5388901379263155,0.47171581900470183,0.5029080849649563,0.3,9,350,10
38,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7571480239684851,0.6358100116323399,0.30996764450005376,0.44129578400993147,0.5273555488216146,0.5096040116909903,0.5610209088865211,0.551079657090351,0.5332401442801146,0.47202862142110047,0.4770432351589916,0.3,9,350,10
39,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7457698360719837,0.5581959120634207,0.39477619964614225,0.491725398578704,0.5125267592692153,0.4822826756336693,0.5922131748467757,0.5801116313623522,0.5244816766209519,0.4392039178502654,0.3915601998025435,0.3,9,350,10
40,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7331013382078376,0.42305549310368423,0.3756366017927488,0.454550786404825,0.5337386731312499,0.4943353437405304,0.5288315852239959,0.5358012140643786,0.5932297827000713,0.5020772035463974,0.463103977478226,0.3,9,350,10
41,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7471481217192403,0.4003479926882435,0.3375822328227486,0.42375929854058125,0.55366027702564,0.5042765955367006,0.585116470024731,0.5419888368637648,0.5671889815348824,0.42808965699260026,0.3775231913666533,0.3,9,350,10
42,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7292988338334914,0.6100917879590619,0.3858515557032678,0.3692925777851634,0.3185208355734548,0.5726239235198092,0.45248824547169625,0.502986285569056,0.5344913539457092,0.543591949247808,0.5379908309791693,0.3,9,350,10
43,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7309605966706093,0.5834351570365881,0.42148170594617845,0.40154055190076343,0.5048044496143733,0.4794967791126186,0.5447649583093029,0.6138747421823834,0.4951564500835769,0.43663307299048887,0.3890871056978915,0.3,9,350,10
44,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7864732505058601,0.5186655066910392,0.3748252705252148,0.40307523875621937,0.5710305862112784,0.48197964829278306,0.5822425978240682,0.5280789044095365,0.4761732534383828,0.49591890597354865,0.5509916814107388,0.3,9,350,10
45,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7399438910665584,0.5015493494687246,0.3657931007517033,0.40551900763433396,0.44092433114045804,0.5207280476241679,0.5105228687891614,0.6190359820529614,0.5331423935249899,0.47140301658830314,0.46786443925279325,0.3,9,350,10
46,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7567765710990118,0.5755759963245716,0.41955601607022414,0.5080595497600219,0.548283985493788,0.503347963363017,0.5999257094261053,0.6192119334121856,0.4741107125052541,0.491725398578704,0.48409106460347406,0.3,9,350,10
47,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7290837821722173,0.4227622408383105,0.47797186733267516,0.4010517981251405,0.555879219166968,0.4412762338589066,0.42844155971104875,0.49796189675565244,0.49856795143742483,0.3873764674832113,0.5401511226674226,0.3,9,350,10
48,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6975298384180018,0.4376301306927596,0.3264679719650834,0.5242470748086528,0.5350680834009442,0.40868613210037047,0.4888906266800911,0.5290759621118073,0.4777177153693512,0.48918387894546483,0.40822670355128493,0.3,9,350,10
49,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7286048034721069,0.4785681469389351,0.25594080214269654,0.49095316761321983,0.537111074183048,0.47978025630247995,0.4834947849972141,0.5694176987517229,0.5598381247495137,0.3112970547697481,0.45057233067125446,0.3,9,350,10
50,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7311365480298335,0.5052541030879464,0.4678448891017683,0.472722651782485,0.5268765701215042,0.39473709934409246,0.513093713648938,0.41766942649631966,0.5648429634118923,0.4822044750295696,0.3700648087506476,0.3,9,350,10
1,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7249880255324972,0.48935005522917663,0.3797812338100312,0.4352156870411824,0.5556837176567189,0.5100732153155884,0.5558107936383808,0.4173370739288961,0.5225657618205101,0.4953030762162638,0.35475704049813783,0.3,9,350,100
2,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7583992336340798,0.6202480914165062,0.5196821145443349,0.6246371003216,0.5844126645878339,0.5406887518206078,0.4785974721654725,0.5471989521119051,0.5038855925162022,0.4867596602183752,0.48852894888613013,0.3,9,350,100
3,1111111111,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7561509662662144,0.39217602955982833,0.38537257700315736,0.5511285324679133,0.5148630023166929,0.4709435880392176,0.5421745632985014,0.5598087995229764,0.5239049471657169,0.4595262998406663,0.4830255813726161,0.3,9,350,100
