Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0110111100,443,"[3, 4, 5, 6, 8, 9]",0.8219326818675353,19,0.1,3,10,0.7709011943539631,0.8078175895765473,0.8197611292073833,0.4234527687296417,0.8132464712269273,0.8056460369163952,0.8501628664495114,0.50271444082519,0.4766558089033659,0.8425624321389794
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9022801302931596,19,0.1,3,10,0.7709011943539631,0.8078175895765473,0.8197611292073833,0.4234527687296417,0.8132464712269273,0.8056460369163952,0.8501628664495114,0.50271444082519,0.4766558089033659,0.8425624321389794
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,20,0.1,3,10,0.8295331161780674,0.8382193268186754,0.8219326818675353,0.8425624321389794,0.8306188925081434,0.8664495114006515,0.6579804560260586,0.8870792616720955,0.8534201954397395,0.8501628664495114
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,21,0.1,3,10,0.8165038002171553,0.7763300760043431,0.7698154180238871,0.8577633007600435,0.6536373507057546,0.7307274701411509,0.8132464712269273,0.8707926167209555,0.8718783930510315,0.8740499457111836
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,22,0.1,3,10,0.7654723127035831,0.8034744842562432,0.8230184581976113,0.8762214983713354,0.8555917480998915,0.8621064060803475,0.754614549402823,0.8469055374592834,0.8751357220412594,0.8360477741585234
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9185667752442996,23,0.1,3,10,0.6102062975027145,0.8078175895765473,0.7969598262757872,0.7937024972855592,0.8338762214983714,0.8414766558089034,0.8631921824104235,0.8262757871878393,0.7719869706840391,0.8653637350705755
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9239956568946797,24,0.1,3,10,0.8175895765472313,0.8545059717698155,0.741585233441911,0.8013029315960912,0.8327904451682954,0.8697068403908795,0.8577633007600435,0.8881650380021715,0.9022801302931596,0.8338762214983714
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,25,0.1,3,10,0.7882736156351792,0.7828447339847991,0.7926167209554832,0.6720955483170467,0.8653637350705755,0.5841476655808904,0.8317046688382194,0.6384364820846905,0.8371335504885994,0.8751357220412594
0000110000,47,"[5, 6]",0.6807817589576547,26,0.1,3,10,0.8154180238870793,0.7676438653637351,0.7176981541802389,0.8675352877307275,0.6742671009771987,0.5548317046688382,0.6558089033659066,0.8469055374592834,0.8251900108577633,0.8056460369163952
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9066232356134636,26,0.1,3,10,0.8154180238870793,0.7676438653637351,0.7176981541802389,0.8675352877307275,0.6742671009771987,0.5548317046688382,0.6558089033659066,0.8469055374592834,0.8251900108577633,0.8056460369163952
