Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy (low-quality client),Client 4 Accuracy (low-quality client),Client 5 Accuracy (low-quality client),Client 6 Accuracy (low-quality client),Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9120521172638436,21,0.1,6,10,0.7633007600434311,0.745928338762215,0.738327904451683,0.8479913137893594,0.7698154180238871,0.7155266015200868,0.8360477741585234,0.8805646036916395,0.8110749185667753,0.8371335504885994
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9142236699239956,22,0.1,6,10,0.8034744842562432,0.6905537459283387,0.757871878393051,0.7969598262757872,0.7763300760043431,0.7719869706840391,0.7926167209554832,0.754614549402823,0.8403908794788274,0.8914223669923995
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,23,0.1,6,10,0.7795874049945711,0.7361563517915309,0.8545059717698155,0.6916395222584147,0.5895765472312704,0.7122692725298588,0.8197611292073833,0.8403908794788274,0.8436482084690554,0.8327904451682954
0110000000,383,"[8, 9]",0.7719869706840391,24,0.1,6,10,0.8023887079261672,0.8197611292073833,0.8230184581976113,0.7904451682953312,0.8284473398479913,0.7915309446254072,0.7643865363735071,0.747014115092291,0.5190010857763301,0.8469055374592834
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9077090119435396,24,0.1,6,10,0.8023887079261672,0.8197611292073833,0.8230184581976113,0.7904451682953312,0.8284473398479913,0.7915309446254072,0.7643865363735071,0.747014115092291,0.5190010857763301,0.8469055374592834
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9022801302931596,25,0.1,6,10,0.8089033659066233,0.744842562432139,0.8175895765472313,0.7633007600434311,0.6699239956568946,0.752442996742671,0.8436482084690554,0.8523344191096635,0.6058631921824105,0.8479913137893594
1000001000,519,"[4, 10]",0.6243213897937026,26,0.1,6,10,0.8186753528773073,0.7709011943539631,0.7122692725298588,0.6036916395222585,0.7155266015200868,0.744842562432139,0.8729641693811075,0.5352877307274702,0.6047774158523345,0.44733984799131377
1010000000,639,"[8, 10]",0.5580890336590663,26,0.1,6,10,0.8186753528773073,0.7709011943539631,0.7122692725298588,0.6036916395222585,0.7155266015200868,0.744842562432139,0.8729641693811075,0.5352877307274702,0.6047774158523345,0.44733984799131377
1110001000,903,"[4, 8, 9, 10]",0.6623235613463626,26,0.1,6,10,0.8186753528773073,0.7709011943539631,0.7122692725298588,0.6036916395222585,0.7155266015200868,0.744842562432139,0.8729641693811075,0.5352877307274702,0.6047774158523345,0.44733984799131377
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,26,0.1,6,10,0.8186753528773073,0.7709011943539631,0.7122692725298588,0.6036916395222585,0.7155266015200868,0.744842562432139,0.8729641693811075,0.5352877307274702,0.6047774158523345,0.44733984799131377
0000001100,11,"[3, 4]",0.6340933767643865,27,0.1,6,10,0.743756786102063,0.8143322475570033,0.5396308360477742,0.5895765472312704,0.6775244299674267,0.758957654723127,0.8566775244299675,0.8002171552660152,0.8490770901194354,0.7969598262757872
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9001085776330076,27,0.1,6,10,0.743756786102063,0.8143322475570033,0.5396308360477742,0.5895765472312704,0.6775244299674267,0.758957654723127,0.8566775244299675,0.8002171552660152,0.8490770901194354,0.7969598262757872
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,28,0.1,6,10,0.7676438653637351,0.8371335504885994,0.8262757871878393,0.7980456026058632,0.8023887079261672,0.8045602605863192,0.8773072747014115,0.8208469055374593,0.8545059717698155,0.6112920738327905
