Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy (low-quality client),Client 2 Accuracy (low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9294245385450597,7,0.1,2,10,0.8306188925081434,0.7969598262757872,0.8425624321389794,0.8132464712269273,0.8490770901194354,0.8707926167209555,0.8903365906623235,0.7991313789359392,0.8631921824104235,0.8317046688382194
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9305103148751357,8,0.1,2,10,0.761129207383279,0.7937024972855592,0.6786102062975027,0.8534201954397395,0.8783930510314875,0.8523344191096635,0.8317046688382194,0.8621064060803475,0.8827361563517915,0.8729641693811075
0000010100,19,"[3, 5]",0.5776330076004343,9,0.1,2,10,0.7893593919652552,0.7372421281216069,0.4581976112920738,0.8577633007600435,0.5624321389793703,0.8425624321389794,0.8523344191096635,0.8317046688382194,0.8371335504885994,0.8382193268186754
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9337676438653637,9,0.1,2,10,0.7893593919652552,0.7372421281216069,0.4581976112920738,0.8577633007600435,0.5624321389793703,0.8425624321389794,0.8523344191096635,0.8317046688382194,0.8371335504885994,0.8382193268186754
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8990228013029316,10,0.1,2,10,0.7730727470141151,0.8099891422366993,0.8371335504885994,0.8425624321389794,0.8121606948968513,0.6623235613463626,0.8089033659066233,0.8034744842562432,0.8393051031487514,0.8013029315960912
0010010000,143,"[5, 8]",0.749185667752443,11,0.1,2,10,0.749185667752443,0.7665580890336591,0.8501628664495114,0.8501628664495114,0.6970684039087948,0.8360477741585234,0.8479913137893594,0.6297502714440825,0.8653637350705755,0.6764386536373507
1010000000,639,"[8, 10]",0.7035830618892508,11,0.1,2,10,0.749185667752443,0.7665580890336591,0.8501628664495114,0.8501628664495114,0.6970684039087948,0.8360477741585234,0.8479913137893594,0.6297502714440825,0.8653637350705755,0.6764386536373507
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9098805646036916,11,0.1,2,10,0.749185667752443,0.7665580890336591,0.8501628664495114,0.8501628664495114,0.6970684039087948,0.8360477741585234,0.8479913137893594,0.6297502714440825,0.8653637350705755,0.6764386536373507
0000011000,23,"[4, 5]",0.7307274701411509,12,0.1,2,10,0.8621064060803475,0.7752442996742671,0.8393051031487514,0.6134636264929425,0.6938110749185668,0.7741585233441911,0.8284473398479913,0.8718783930510315,0.8718783930510315,0.8762214983713354
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9326818675352877,12,0.1,2,10,0.8621064060803475,0.7752442996742671,0.8393051031487514,0.6134636264929425,0.6938110749185668,0.7741585233441911,0.8284473398479913,0.8718783930510315,0.8718783930510315,0.8762214983713354
0000010100,19,"[3, 5]",0.5776330076004343,13,0.1,2,10,0.7893593919652552,0.7372421281216069,0.4581976112920738,0.8577633007600435,0.5624321389793703,0.8425624321389794,0.8523344191096635,0.8317046688382194,0.8371335504885994,0.8382193268186754
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9337676438653637,13,0.1,2,10,0.7893593919652552,0.7372421281216069,0.4581976112920738,0.8577633007600435,0.5624321389793703,0.8425624321389794,0.8523344191096635,0.8317046688382194,0.8371335504885994,0.8382193268186754
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9055374592833876,14,0.1,2,10,0.7307274701411509,0.7785016286644951,0.7947882736156352,0.8631921824104235,0.7904451682953312,0.7719869706840391,0.7046688382193268,0.8479913137893594,0.4516829533116178,0.8523344191096635
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9131378935939196,15,0.1,2,10,0.744842562432139,0.8013029315960912,0.8425624321389794,0.8794788273615635,0.8718783930510315,0.8555917480998915,0.8338762214983714,0.6938110749185668,0.8393051031487514,0.8707926167209555
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9109663409337676,16,0.1,2,10,0.8175895765472313,0.741585233441911,0.8588490770901195,0.8588490770901195,0.8773072747014115,0.8577633007600435,0.8143322475570033,0.8751357220412594,0.8729641693811075,0.8208469055374593
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9174809989142236,17,0.1,2,10,0.8089033659066233,0.739413680781759,0.8773072747014115,0.8523344191096635,0.8382193268186754,0.8892508143322475,0.8794788273615635,0.8403908794788274,0.50814332247557,0.8610206297502715
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9153094462540716,18,0.1,2,10,0.7937024972855592,0.762214983713355,0.8773072747014115,0.7947882736156352,0.8165038002171553,0.8490770901194354,0.758957654723127,0.6655808903365906,0.8903365906623235,0.8447339847991314
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9207383279044516,19,0.1,2,10,0.762214983713355,0.7361563517915309,0.8469055374592834,0.8490770901194354,0.8371335504885994,0.8317046688382194,0.8447339847991314,0.8794788273615635,0.8740499457111836,0.8110749185667753
0100000011,258,"[1, 2, 9]",0.6720955483170467,20,0.1,2,10,0.6091205211726385,0.6601520086862106,0.7633007600434311,0.8338762214983714,0.8447339847991314,0.8707926167209555,0.8306188925081434,0.8512486427795874,0.4788273615635179,0.8675352877307275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9229098805646037,20,0.1,2,10,0.6091205211726385,0.6601520086862106,0.7633007600434311,0.8338762214983714,0.8447339847991314,0.8707926167209555,0.8306188925081434,0.8512486427795874,0.4788273615635179,0.8675352877307275
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.9250814332247557,21,0.1,2,10,0.8393051031487514,0.7980456026058632,0.8219326818675353,0.4234527687296417,0.8729641693811075,0.757871878393051,0.8631921824104235,0.753528773072747,0.8610206297502715,0.8089033659066233
