Nash Equilibrium,0 Low-Quality Clients,1 Low-Quality Clients,2 Low-Quality Clients,3 Low-Quality Clients,4 Low-Quality Clients,5 Low-Quality Clients,6 Low-Quality Clients,7 Low-Quality Clients,8 Low-Quality Clients,9 Low-Quality Clients,10 Low-Quality Clients
1011000111,0,0,1,1,0,0,0,0,0,0,0
1011011111,1,0,0,0,0,0,0,0,0,0,0
1011110010,0,0,0,0,0,0,0,0,0,1,0
1011111111,0,0,0,0,0,0,0,0,1,0,0
1100000000,1,2,0,2,0,1,0,0,2,0,0
1100000011,0,0,0,0,0,1,0,0,0,0,0
1100000101,0,1,0,0,0,0,0,0,0,0,0
1100001000,0,0,0,0,0,0,0,1,0,0,0
1100001111,0,0,1,0,0,0,0,0,0,0,0
1100010100,1,0,0,1,0,0,1,0,1,0,0
1100011000,1,0,0,0,0,0,0,0,0,0,0
1100011011,1,0,0,0,0,0,0,0,0,0,0
1100011101,0,0,0,1,0,0,0,0,0,0,0
1100100001,0,0,0,0,0,1,0,0,0,0,0
1100100010,0,0,0,0,0,0,1,0,1,0,0
1100101000,0,0,0,0,0,0,0,0,1,0,0
1100101011,0,0,0,0,0,1,0,0,0,0,0
1100101110,1,0,0,0,0,0,0,0,0,0,0
1100111111,0,0,0,0,0,1,0,0,0,0,0
1101000111,0,0,1,0,0,0,0,0,0,0,0
1101001011,0,1,0,0,0,0,0,0,0,0,0
1101010000,1,0,0,0,0,0,0,0,0,0,0
1101011001,1,0,0,0,0,0,0,0,0,0,0
1101100110,1,0,0,0,0,0,0,0,0,0,0
1101111111,0,0,0,0,0,0,1,0,0,0,0
1110000111,0,0,2,0,0,0,0,0,0,0,0
1110001000,0,0,0,0,0,0,1,0,0,0,0
1110010000,1,0,0,0,0,0,0,0,0,0,0
1110100110,0,0,0,0,0,0,0,0,0,1,0
1110110111,0,0,1,0,0,0,0,0,0,0,0
1110111111,0,0,0,0,1,0,0,0,0,0,0
1111001111,0,0,1,0,0,0,0,0,0,0,0
1111011011,0,1,0,0,0,0,0,0,0,0,0
1111100001,1,0,0,0,0,0,0,0,0,0,0
1111100010,1,0,0,0,0,0,0,0,0,0,0
1111100111,0,0,0,2,0,0,0,0,0,0,0
1111111111,100,100,99,99,99,100,99,100,98,97,100
