Trial,Combination,Clients,Global Accuracy,Subsample Ratio,Max Iter
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.592262050224338,0.8,10
8,0000000011,"1,2",0.4298687207358677,0.8,10
8,1110101111,"1,2,3,4,6,8,9,10",0.5959374786170223,0.8,10
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6049403231639965,0.8,10
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6021837518694831,0.8,10
10,1111101111,"1,2,3,4,6,7,8,9,10",0.6024965542858819,0.8,10
1,1110101111,"1,2,3,4,6,8,9,10",0.6106782924898095,0.8,100
1,1110110111,"1,2,3,5,6,8,9,10",0.6117242255696426,0.8,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6147935992805544,0.8,100
2,1111011111,"1,2,3,4,5,7,8,9,10",0.6228580365783326,0.8,100
2,1111101111,"1,2,3,4,6,7,8,9,10",0.6146078728458177,0.8,100
3,0000000011,"1,2",0.4385783130174681,0.8,100
3,1110111111,"1,2,3,4,5,6,8,9,10",0.6133566631802231,0.8,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.607511168023773,0.8,100
5,1110111111,"1,2,3,4,5,6,8,9,10",0.6040116909903129,0.8,100
6,0000000011,"1,2",0.4349322098513211,0.8,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6086646269342431,0.8,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.596592408676357,0.8,100
8,0000000011,"1,2",0.43212676317924553,0.8,100
8,1110101111,"1,2,3,4,6,8,9,10",0.5981955210604002,0.8,100
9,1011111111,"1,2,3,4,5,6,7,8,10",0.6063186088112531,0.8,100
9,1110111111,"1,2,3,4,5,6,8,9,10",0.6037184387249391,0.8,100
9,1111110111,"1,2,3,5,6,7,8,9,10",0.5958006275598479,0.8,100
9,1111111011,"1,2,4,5,6,7,8,9,10",0.5971007126030049,0.8,100
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.6069637637950753,0.8,100
