Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy(low-quality client),Client 8 Accuracy(low-quality client),Client 9 Accuracy,Client 10 Accuracy
0111111111,510,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.39789473684210525,29,4,8,10,0.32,0.23473684210526316,0.28,0.2536842105263158,0.21368421052631578,0.3873684210526316,0.18210526315789474,0.3505263157894737,0.3936842105263158,0.48105263157894734
0001101101,108,"[1, 3, 4, 6, 7]",0.28210526315789475,30,4,8,10,0.23473684210526316,0.31157894736842107,0.24947368421052632,0.24421052631578946,0.44526315789473686,0.2305263157894737,0.27789473684210525,0.4589473684210526,0.4284210526315789,0.49894736842105264
0001111111,126,"[1, 2, 3, 4, 5, 6, 7]",0.3526315789473684,31,4,8,10,0.23473684210526316,0.27263157894736845,0.2578947368421053,0.2736842105263158,0.24736842105263157,0.3273684210526316,0.2463157894736842,0.3736842105263158,0.5557894736842105,0.62
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.48947368421052634,32,4,8,10,0.3389473684210526,0.40421052631578946,0.3,0.25263157894736843,0.3431578947368421,0.26631578947368423,0.26105263157894737,0.2,0.4494736842105263,0.39263157894736844
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.30105263157894735,34,4,8,10,0.2431578947368421,0.24526315789473685,0.26631578947368423,0.18210526315789474,0.19157894736842104,0.2694736842105263,0.28421052631578947,0.2326315789473684,0.35578947368421054,0.508421052631579
1011111100,763,"[3, 4, 5, 6, 7, 8, 10]",0.3263157894736842,35,4,8,10,0.4494736842105263,0.4168421052631579,0.23789473684210527,0.22842105263157894,0.18947368421052632,0.29578947368421055,0.18842105263157893,0.2831578947368421,0.5263157894736842,0.32
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3831578947368421,36,4,8,10,0.34421052631578947,0.3031578947368421,0.14,0.3726315789473684,0.3336842105263158,0.2736842105263158,0.22736842105263158,0.1936842105263158,0.4863157894736842,0.5673684210526316
0010111011,186,"[1, 2, 4, 5, 6, 8]",0.31894736842105265,38,4,8,10,0.2694736842105263,0.2231578947368421,0.3094736842105263,0.2536842105263158,0.23157894736842105,0.25894736842105265,0.35157894736842105,0.2968421052631579,0.52,0.48736842105263156
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3473684210526316,39,4,8,10,0.22842105263157894,0.33789473684210525,0.3042105263157895,0.30736842105263157,0.22736842105263158,0.28,0.30842105263157893,0.21789473684210525,0.5494736842105263,0.43894736842105264
1011111111,766,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.3894736842105263,41,4,8,10,0.3094736842105263,0.27578947368421053,0.2326315789473684,0.24842105263157896,0.2431578947368421,0.24,0.29789473684210527,0.26421052631578945,0.5642105263157895,0.37157894736842106
0011111111,254,"[1, 2, 3, 4, 5, 6, 7, 8]",0.3957894736842105,42,4,8,10,0.3105263157894737,0.29789473684210527,0.3231578947368421,0.39263157894736844,0.2905263157894737,0.3463157894736842,0.2894736842105263,0.25157894736842107,0.5231578947368422,0.5357894736842105
0010111011,186,"[1, 2, 4, 5, 6, 8]",0.28210526315789475,43,4,8,10,0.2326315789473684,0.22842105263157894,0.42947368421052634,0.21894736842105264,0.22,0.2463157894736842,0.3294736842105263,0.16105263157894736,0.40210526315789474,0.4968421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5526315789473685,44,4,8,10,0.26421052631578945,0.3,0.3410526315789474,0.35368421052631577,0.2810526315789474,0.42526315789473684,0.2863157894736842,0.2463157894736842,0.5473684210526316,0.45473684210526316
