Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy,Client 4 Accuracy,Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7305263157894737,9,0.7,2,10,0.3389473684210526,0.29789473684210527,0.4473684210526316,0.54,0.5842105263157895,0.5273684210526316,0.6494736842105263,0.68,0.4421052631578947,0.3863157894736842
0010001010,137,"[2, 4, 8]",0.37894736842105264,10,0.7,2,10,0.6021052631578947,0.30842105263157893,0.4726315789473684,0.3736842105263158,0.5105263157894737,0.4242105263157895,0.43157894736842106,0.3642105263157895,0.5347368421052632,0.4515789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.671578947368421,10,0.7,2,10,0.6021052631578947,0.30842105263157893,0.4726315789473684,0.3736842105263158,0.5105263157894737,0.4242105263157895,0.43157894736842106,0.3642105263157895,0.5347368421052632,0.4515789473684211
0000000111,6,"[1, 2, 3]",0.34842105263157896,11,0.7,2,10,0.3178947368421053,0.3410526315789474,0.3357894736842105,0.5957894736842105,0.4263157894736842,0.58,0.5494736842105263,0.4663157894736842,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7231578947368421,11,0.7,2,10,0.3178947368421053,0.3410526315789474,0.3357894736842105,0.5957894736842105,0.4263157894736842,0.58,0.5494736842105263,0.4663157894736842,0.5768421052631579,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7389473684210527,12,0.7,2,10,0.3936842105263158,0.3294736842105263,0.41578947368421054,0.5157894736842106,0.5726315789473684,0.6378947368421053,0.6905263157894737,0.4589473684210526,0.4768421052631579,0.3936842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7494736842105263,13,0.7,2,10,0.4442105263157895,0.24736842105263157,0.6421052631578947,0.4957894736842105,0.5305263157894737,0.5947368421052631,0.5136842105263157,0.45263157894736844,0.4052631578947368,0.5368421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7610526315789473,14,0.7,2,10,0.48105263157894734,0.2326315789473684,0.3389473684210526,0.6557894736842105,0.5789473684210527,0.3989473684210526,0.6863157894736842,0.5442105263157895,0.48,0.41789473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7494736842105263,15,0.7,2,10,0.5336842105263158,0.5147368421052632,0.5757894736842105,0.3894736842105263,0.5042105263157894,0.5747368421052632,0.6031578947368421,0.3568421052631579,0.5431578947368421,0.42526315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7136842105263158,16,0.7,2,10,0.3684210526315789,0.4305263157894737,0.4589473684210526,0.5021052631578947,0.4557894736842105,0.3505263157894737,0.6589473684210526,0.4957894736842105,0.4726315789473684,0.44842105263157894
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6378947368421053,17,0.7,2,10,0.3273684210526316,0.3094736842105263,0.4515789473684211,0.3821052631578947,0.5347368421052632,0.4863157894736842,0.5473684210526316,0.3957894736842105,0.5494736842105263,0.43894736842105264
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7726315789473684,18,0.7,2,10,0.3505263157894737,0.36,0.52,0.48526315789473684,0.5705263157894737,0.5978947368421053,0.6789473684210526,0.6157894736842106,0.5705263157894737,0.5768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7557894736842106,19,0.7,2,10,0.38105263157894737,0.39052631578947367,0.5347368421052632,0.5378947368421053,0.46421052631578946,0.4284210526315789,0.3821052631578947,0.54,0.3778947368421053,0.5463157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7336842105263158,20,0.7,2,10,0.5473684210526316,0.2536842105263158,0.5589473684210526,0.5221052631578947,0.6389473684210526,0.38105263157894737,0.5989473684210527,0.3505263157894737,0.49894736842105264,0.45789473684210524
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6905263157894737,21,0.7,2,10,0.38105263157894737,0.43894736842105264,0.5094736842105263,0.56,0.3494736842105263,0.4357894736842105,0.4326315789473684,0.3705263157894737,0.4263157894736842,0.5326315789473685
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7010526315789474,22,0.7,2,10,0.40210526315789474,0.32526315789473687,0.4789473684210526,0.5073684210526316,0.4968421052631579,0.4305263157894737,0.6526315789473685,0.3568421052631579,0.4168421052631579,0.3989473684210526
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.8042105263157895,23,0.7,2,10,0.4610526315789474,0.3547368421052632,0.4336842105263158,0.5547368421052632,0.5589473684210526,0.5873684210526315,0.6789473684210526,0.5789473684210527,0.4978947368421053,0.49157894736842106
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7547368421052632,24,0.7,2,10,0.29368421052631577,0.2905263157894737,0.4284210526315789,0.39473684210526316,0.5273684210526316,0.39263157894736844,0.6389473684210526,0.6189473684210526,0.47578947368421054,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7736842105263158,25,0.7,2,10,0.3863157894736842,0.4031578947368421,0.6294736842105263,0.6978947368421052,0.5221052631578947,0.4631578947368421,0.6389473684210526,0.5589473684210526,0.5221052631578947,0.44
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7389473684210527,26,0.7,2,10,0.4863157894736842,0.3526315789473684,0.5705263157894737,0.4568421052631579,0.3936842105263158,0.5242105263157895,0.5568421052631579,0.5378947368421053,0.5568421052631579,0.5673684210526316
