Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy,Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0100001101,268,"[1, 3, 4, 9]",0.37894736842105264,11,3,4,10,0.3021052631578947,0.41368421052631577,0.32526315789473687,0.31684210526315787,0.4968421052631579,0.511578947368421,0.6526315789473685,0.4378947368421053,0.3642105263157895,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6747368421052632,11,3,4,10,0.3021052631578947,0.41368421052631577,0.32526315789473687,0.31684210526315787,0.4968421052631579,0.511578947368421,0.6526315789473685,0.4378947368421053,0.3642105263157895,0.5
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7263157894736842,12,3,4,10,0.35157894736842105,0.3505263157894737,0.35789473684210527,0.3757894736842105,0.3526315789473684,0.3831578947368421,0.5778947368421052,0.6631578947368421,0.5652631578947368,0.5094736842105263
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7442105263157894,13,3,4,10,0.23789473684210527,0.27789473684210525,0.3157894736842105,0.4652631578947368,0.5926315789473684,0.48947368421052634,0.6231578947368421,0.6178947368421053,0.5063157894736842,0.52
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7431578947368421,14,3,4,10,0.3336842105263158,0.26842105263157895,0.27263157894736845,0.4589473684210526,0.4726315789473684,0.3957894736842105,0.6947368421052632,0.6010526315789474,0.5442105263157895,0.5726315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7410526315789474,15,3,4,10,0.24,0.33473684210526317,0.4589473684210526,0.42105263157894735,0.5347368421052632,0.47157894736842104,0.671578947368421,0.6147368421052631,0.40210526315789474,0.4968421052631579
0000001111,14,"[1, 2, 3, 4]",0.3105263157894737,16,3,4,10,0.26,0.2536842105263158,0.27263157894736845,0.2789473684210526,0.5073684210526316,0.4568421052631579,0.6252631578947369,0.46210526315789474,0.5231578947368422,0.5357894736842105
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6673684210526316,16,3,4,10,0.26,0.2536842105263158,0.27263157894736845,0.2789473684210526,0.5073684210526316,0.4568421052631579,0.6252631578947369,0.46210526315789474,0.5231578947368422,0.5357894736842105
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7684210526315789,17,3,4,10,0.31684210526315787,0.27263157894736845,0.22210526315789475,0.5073684210526316,0.5947368421052631,0.6147368421052631,0.5842105263157895,0.6810526315789474,0.5905263157894737,0.5010526315789474
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6978947368421052,18,3,4,10,0.2905263157894737,0.5705263157894737,0.2736842105263158,0.44,0.5463157894736842,0.4705263157894737,0.4010526315789474,0.33473684210526317,0.5652631578947368,0.4768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7368421052631579,19,3,4,10,0.4663157894736842,0.25894736842105265,0.2926315789473684,0.3757894736842105,0.5957894736842105,0.4105263157894737,0.5968421052631578,0.54,0.5157894736842106,0.631578947368421
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7178947368421053,20,3,4,10,0.47789473684210526,0.20526315789473684,0.35789473684210527,0.3431578947368421,0.5105263157894737,0.49894736842105264,0.6126315789473684,0.44842105263157894,0.5378947368421053,0.5684210526315789
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7178947368421053,21,3,4,10,0.3157894736842105,0.2831578947368421,0.40421052631578946,0.26,0.4568421052631579,0.6147368421052631,0.6442105263157895,0.4673684210526316,0.5252631578947369,0.4863157894736842
0000000111,6,"[1, 2, 3]",0.3263157894736842,22,3,4,10,0.32421052631578945,0.2694736842105263,0.2905263157894737,0.5378947368421053,0.5736842105263158,0.5968421052631578,0.3957894736842105,0.6126315789473684,0.5831578947368421,0.4747368421052632
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.751578947368421,22,3,4,10,0.32421052631578945,0.2694736842105263,0.2905263157894737,0.5378947368421053,0.5736842105263158,0.5968421052631578,0.3957894736842105,0.6126315789473684,0.5831578947368421,0.4747368421052632
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.6126315789473684,23,3,4,10,0.3042105263157895,0.22210526315789475,0.4610526315789474,0.25684210526315787,0.5147368421052632,0.42210526315789476,0.7063157894736842,0.5263157894736842,0.511578947368421,0.41368421052631577
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7136842105263158,24,3,4,10,0.30842105263157893,0.2326315789473684,0.42,0.41368421052631577,0.45789473684210524,0.6347368421052632,0.6105263157894737,0.5536842105263158,0.37894736842105264,0.5147368421052632
0000101101,44,"[1, 3, 4, 6]",0.37157894736842106,25,3,4,10,0.36947368421052634,0.4442105263157895,0.25894736842105265,0.26210526315789473,0.5473684210526316,0.3663157894736842,0.6757894736842105,0.46421052631578946,0.4863157894736842,0.4168421052631579
1110111111,958,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.588421052631579,25,3,4,10,0.36947368421052634,0.4442105263157895,0.25894736842105265,0.26210526315789473,0.5473684210526316,0.3663157894736842,0.6757894736842105,0.46421052631578946,0.4863157894736842,0.4168421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5684210526315789,26,3,4,10,0.2789473684210526,0.26421052631578945,0.22736842105263158,0.3526315789473684,0.5189473684210526,0.3968421052631579,0.4242105263157895,0.4968421052631579,0.5368421052631579,0.4936842105263158
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7663157894736842,27,3,4,10,0.32210526315789473,0.4126315789473684,0.2673684210526316,0.24210526315789474,0.5136842105263157,0.6578947368421053,0.6726315789473685,0.6410526315789473,0.5578947368421052,0.49157894736842106
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6863157894736842,28,3,4,10,0.2557894736842105,0.46421052631578946,0.22,0.38526315789473686,0.4936842105263158,0.49473684210526314,0.651578947368421,0.3178947368421053,0.5736842105263158,0.4421052631578947
0000111111,62,"[1, 2, 3, 4, 5, 6]",0.4231578947368421,29,3,4,10,0.34842105263157896,0.2463157894736842,0.3094736842105263,0.22105263157894736,0.37157894736842106,0.4063157894736842,0.6021052631578947,0.5873684210526315,0.5505263157894736,0.5515789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.64,29,3,4,10,0.34842105263157896,0.2463157894736842,0.3094736842105263,0.22105263157894736,0.37157894736842106,0.4063157894736842,0.6021052631578947,0.5873684210526315,0.5505263157894736,0.5515789473684211
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6726315789473685,30,3,4,10,0.4168421052631579,0.22421052631578947,0.2336842105263158,0.3505263157894737,0.34,0.6168421052631579,0.5694736842105264,0.5673684210526316,0.41157894736842104,0.5021052631578947
