Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy,Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6694736842105263,15,3,5,10,0.42736842105263156,0.32210526315789473,0.3547368421052632,0.24210526315789474,0.2905263157894737,0.5747368421052632,0.6031578947368421,0.3568421052631579,0.5431578947368421,0.42526315789473684
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7147368421052631,16,3,5,10,0.3126315789473684,0.4863157894736842,0.3357894736842105,0.5326315789473685,0.3684210526315789,0.3505263157894737,0.6589473684210526,0.4957894736842105,0.4726315789473684,0.44842105263157894
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.66,17,3,5,10,0.32,0.3968421052631579,0.3231578947368421,0.45789473684210524,0.2168421052631579,0.4863157894736842,0.5473684210526316,0.3957894736842105,0.5494736842105263,0.43894736842105264
0000011111,30,"[1, 2, 3, 4, 5]",0.4147368421052632,18,3,5,10,0.28210526315789475,0.29368421052631577,0.32842105263157895,0.38526315789473686,0.3294736842105263,0.5978947368421053,0.6789473684210526,0.6157894736842106,0.5705263157894737,0.5768421052631579
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.7336842105263158,18,3,5,10,0.28210526315789475,0.29368421052631577,0.32842105263157895,0.38526315789473686,0.3294736842105263,0.5978947368421053,0.6789473684210526,0.6157894736842106,0.5705263157894737,0.5768421052631579
0000001111,14,"[1, 2, 3, 4]",0.29473684210526313,19,3,5,10,0.2873684210526316,0.25263157894736843,0.2736842105263158,0.24736842105263157,0.34210526315789475,0.4284210526315789,0.3821052631578947,0.54,0.3778947368421053,0.5463157894736842
0101111111,382,"[1, 2, 3, 4, 5, 6, 7, 9]",0.4326315789473684,19,3,5,10,0.2873684210526316,0.25263157894736843,0.2736842105263158,0.24736842105263157,0.34210526315789475,0.4284210526315789,0.3821052631578947,0.54,0.3778947368421053,0.5463157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5726315789473684,19,3,5,10,0.2873684210526316,0.25263157894736843,0.2736842105263158,0.24736842105263157,0.34210526315789475,0.4284210526315789,0.3821052631578947,0.54,0.3778947368421053,0.5463157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6578947368421053,20,3,5,10,0.24947368421052632,0.2094736842105263,0.4926315789473684,0.32526315789473687,0.43473684210526314,0.38105263157894737,0.5989473684210527,0.3505263157894737,0.49894736842105264,0.45789473684210524
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6263157894736842,21,3,5,10,0.24842105263157896,0.2673684210526316,0.3831578947368421,0.4747368421052632,0.38,0.4357894736842105,0.4326315789473684,0.3705263157894737,0.4263157894736842,0.5326315789473685
