Combination,index,Clients,Global Accuracy,Trial,Noise Std,Corrupted Clients,Max Iter or Depth,Client 1 Accuracy(low-quality client),Client 2 Accuracy(low-quality client),Client 3 Accuracy(low-quality client),Client 4 Accuracy(low-quality client),Client 5 Accuracy(low-quality client),Client 6 Accuracy(low-quality client),Client 7 Accuracy,Client 8 Accuracy,Client 9 Accuracy,Client 10 Accuracy
0000101111,46,"[1, 2, 3, 4, 6]",0.35368421052631577,33,5,6,10,0.26526315789473687,0.3157894736842105,0.34421052631578947,0.29894736842105263,0.4494736842105263,0.2168421052631579,0.611578947368421,0.5252631578947369,0.4705263157894737,0.4863157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6431578947368422,33,5,6,10,0.26526315789473687,0.3157894736842105,0.34421052631578947,0.29894736842105263,0.4494736842105263,0.2168421052631579,0.611578947368421,0.5252631578947369,0.4705263157894737,0.4863157894736842
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.5568421052631579,34,5,6,10,0.24842105263157896,0.18736842105263157,0.2631578947368421,0.46,0.34421052631578947,0.2894736842105263,0.5421052631578948,0.38,0.5210526315789473,0.43157894736842106
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6705263157894736,36,5,6,10,0.29473684210526313,0.25263157894736843,0.3389473684210526,0.4,0.38105263157894737,0.3589473684210526,0.6557894736842105,0.28,0.5294736842105263,0.48105263157894734
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6021052631578947,37,5,6,10,0.27473684210526317,0.2831578947368421,0.1863157894736842,0.391578947368421,0.22631578947368422,0.3547368421052632,0.5842105263157895,0.5042105263157894,0.41578947368421054,0.4515789473684211
1100111111,830,"[1, 2, 3, 4, 5, 6, 9, 10]",0.508421052631579,38,5,6,10,0.2768421052631579,0.25684210526315787,0.32842105263157895,0.29578947368421055,0.3,0.2894736842105263,0.5936842105263158,0.588421052631579,0.49894736842105264,0.4010526315789474
1111111111,1022,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0.6463157894736842,38,5,6,10,0.2768421052631579,0.25684210526315787,0.32842105263157895,0.29578947368421055,0.3,0.2894736842105263,0.5936842105263158,0.588421052631579,0.49894736842105264,0.4010526315789474
1010111111,702,"[1, 2, 3, 4, 5, 6, 8, 10]",0.4336842105263158,39,5,6,10,0.3526315789473684,0.20210526315789473,0.21052631578947367,0.3042105263157895,0.37157894736842106,0.2863157894736842,0.6168421052631579,0.30105263157894735,0.5421052631578948,0.35157894736842105
0000011110,29,"[2, 3, 4, 5]",0.2894736842105263,40,5,6,10,0.3526315789473684,0.24842105263157896,0.2536842105263158,0.2694736842105263,0.20421052631578948,0.3547368421052632,0.6968421052631579,0.39263157894736844,0.5052631578947369,0.5010526315789474
0000101111,46,"[1, 2, 3, 4, 6]",0.2968421052631579,41,5,6,10,0.2789473684210526,0.21157894736842106,0.24736842105263157,0.29368421052631577,0.3589473684210526,0.2536842105263158,0.41578947368421054,0.6568421052631579,0.6021052631578947,0.5589473684210526
