Trial,Combination,Clients,Client 1 Accuracy,Client 1 Shapley Value,Client 2 Accuracy,Client 2 Shapley Value,Client 3 Accuracy,Client 3 Shapley Value,Client 4 Accuracy,Client 4 Shapley Value,Client 5 Accuracy,Client 5 Shapley Value,Client 6 Accuracy,Client 6 Shapley Value,Client 7 Accuracy,Client 7 Shapley Value,Client 8 Accuracy,Client 8 Shapley Value,Client 9 Accuracy,Client 9 Shapley Value,Client 10 Accuracy,Client 10 Shapley Value,Global Accuracy,Subsample Ratio,Max Iter
9,0000000011,"1,2",0.4503121907112572,0.04336205311367299,0.4277806967168045,0.045866096946010515,,,,,,,,,,,,,,,,,0.46126024853068753,0.8,10
9,1000100011,"1,2,6,10",0.4503121907112572,0.04336205311367299,0.4277806967168045,0.045866096946010515,,,,,,,0.58344839383683,0.1006439510813161,,,,,,,0.56852922129495,0.11463966259322653,0.5781454283305434,0.8,10
9,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4503121907112572,0.04336205311367299,0.4277806967168045,0.045866096946010515,0.6070673623245073,0.1167808912949301,0.5914639361689129,0.11897477552445145,0.6035116872960985,0.11925543618848151,0.58344839383683,0.1006439510813161,0.6029618406422209,0.11498242218544606,0.5809924121161765,0.10944290950230469,0.5745042216004204,0.11605180157016,0.56852922129495,0.11463966259322653,0.6223042240441833,0.8,10
10,0000000011,"1,2",0.45089869380872666,0.0421448425790894,0.42873376425019244,0.05202570716340459,,,,,,,,,,,,,,,,,0.4578389804621156,0.8,10
10,1111111111,"1,2,3,4,5,6,7,8,9,10",0.45089869380872666,0.0421448425790894,0.42873376425019244,0.05202570716340459,0.6141787123813247,0.11904104200129513,0.5918793758629538,0.11729293394181046,0.6085947141408341,0.12004566657363323,0.5828374531102992,0.09838817696598227,0.6013611759387104,0.11302840483060182,0.5819210420205032,0.10625373905853659,0.5853667477181363,0.11893995264526637,0.5671484952529906,0.11283953424038057,0.6295866375044293,0.8,10
1,0000000010,2,,,0.4009237423785144,0.025944039964486458,,,,,,,,,,,,,,,,,0.4118718001979448,0.8,100
1,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4617245634828509,0.06902823802990715,0.4009237423785144,0.025944039964486458,0.6064442027834459,0.11535739048257321,0.6042692537969966,0.11717968032384897,0.6096699698195281,0.11808317444662131,0.5741376571645019,0.10539284532608124,0.6101709412152833,0.12652929401312452,0.5930890385014845,0.11105293042493142,0.5804547842768295,0.11309384567260622,0.5550274312386212,0.09833856131581957,0.6442125584975745,0.8,100
2,0000000011,"1,2",0.4618223139990958,0.07161872448615848,0.4110042643662712,0.029918224540631238,,,,,,,,,,,,,,,,,0.472110555833873,0.8,100
2,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4618223139990958,0.07161872448615848,0.4110042643662712,0.029918224540631238,0.6017155215600982,0.11146560054417173,0.605588885766303,0.11916287595061072,0.6106963502400997,0.11791181620127207,0.5711929228626239,0.10245629604527923,0.6061020759765887,0.12571069174819832,0.592539191847607,0.11039703989286932,0.5814933835119317,0.11052897810689803,0.5552840263437642,0.1008297524839105,0.628425850124021,0.8,100
3,0000000011,"1,2",0.46204225266064686,0.07040211009081848,0.4128737429894552,0.027134246802080642,,,,,,,,,,,,,,,,,0.46789506482081106,0.8,100
3,1111111111,"1,2,3,4,5,6,7,8,9,10",0.46204225266064686,0.07040211009081848,0.4128737429894552,0.027134246802080642,0.606884080106548,0.1137252786717937,0.6035483437396904,0.11982561884056743,0.6123703278307938,0.11790957752681198,0.5713517674515218,0.10286768323351822,0.6075438960912012,0.12593582295710185,0.5893134248115248,0.10936654368797426,0.5776444569347882,0.11354651370523772,0.555161838198458,0.09928660448409547,0.6350973228577363,0.8,100
4,0000000011,"1,2",0.46185897044268764,0.07069495490641187,0.4249581505602327,0.0279093070641868,,,,,,,,,,,,,,,,,0.46843269266015813,0.8,100
4,1111111111,"1,2,3,4,5,6,7,8,9,10",0.46185897044268764,0.07069495490641187,0.4249581505602327,0.0279093070641868,0.6015444581566697,0.1117151476592778,0.6051612272577315,0.11751910022772835,0.6101953788443445,0.11591068993827122,0.5735022788089099,0.10685092295771198,0.6137632726872839,0.12590033203540976,0.5887635781576471,0.10951273560891693,0.5821409806820542,0.11109544834792345,0.5567014088293154,0.10289136125416172,0.6392639386126758,0.8,100
5,0000000011,"1,2",0.4600139294485649,0.07015702148787686,0.4078518102173727,0.031745349810130684,,,,,,,,,,,,,,,,,0.4637040114368104,0.8,100
5,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4600139294485649,0.07015702148787686,0.4078518102173727,0.031745349810130684,0.5987952248872814,0.11030470275256914,0.6039271269901394,0.11702508144919811,0.6096333133759363,0.11741743978276122,0.5741498759790326,0.10482314873558371,0.6097555015212424,0.12744749093561614,0.5924903165894845,0.10866910631150822,0.578854119573319,0.11307264992628954,0.5532068278735597,0.09933800880846651,0.6328124045405115,0.8,100
6,0000000011,"1,2",0.4617734387409734,0.07089562503017238,0.41661270023582314,0.028138077536975743,,,,,,,,,,,,,,,,,0.46912916508840313,0.8,100
6,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4617734387409734,0.07089562503017238,0.41661270023582314,0.028138077536975743,0.606407546339854,0.11277999573108502,0.6057232927261397,0.11771888132568313,0.6102809105460588,0.11794674149108993,0.5695189452719297,0.10402182034912191,0.6096088757468751,0.12352175157890653,0.5905964003372393,0.1112880312195525,0.5834606126513605,0.10950569851562615,0.5580576972422135,0.10418337722178632,0.6387874048459818,0.8,100
7,0000000011,"1,2",0.4623477230239122,0.0708045374155287,0.4247504307132122,0.02922799670704679,,,,,,,,,,,,,,,,,0.4588531420681565,0.8,100
7,1111111111,"1,2,3,4,5,6,7,8,9,10",0.4623477230239122,0.0708045374155287,0.4247504307132122,0.02922799670704679,0.6059310125731602,0.11279021270574525,0.6063342334526705,0.11593074405651936,0.6105863809093242,0.11732150772895598,0.5719871458071137,0.10374755975143486,0.612712454637651,0.12640215629650048,0.593614447526301,0.11355795739946388,0.5808457863418092,0.1091208333219712,0.5566891900147848,0.1010964946168335,0.6401070368152881,0.8,100
8,0000000011,"1,2",0.46536577021297393,0.0699762610282877,0.4097090700260261,0.027431770996334322,,,,,,,,,,,,,,,,,0.4703143900978727,0.8,100
